estado,año,homicidios_100k
Guanajuato,2023,58.63
Guerrero,2003,19.18
Guerrero,2004,18.76
Guerrero,2005,18.52
Guerrero,2006,24.52
Guerrero,2007,23.61
Guerrero,2008,30.73
Guerrero,2009,56.28
Guerrero,2010,46.81
Guerrero,2011,72.1
Guerrero,2012,78.28
Guerrero,2013,66.97
Guerrero,2014,50.29
Guerrero,2015,69.92
Guerrero,2016,74.26
Guerrero,2017,74.96
Guerrero,2018,66.79
Guerrero,2019,54.26
Guerrero,2020,44.41
Guerrero,2021,41.91
Guerrero,2022,38.86
Guerrero,2023,46.82
Hidalgo,2003,3.13
Hidalgo,2004,3.77
Hidalgo,2005,3.08
Hidalgo,2006,1.96
Hidalgo,2007,3.04
Hidalgo,2008,3.04
Hidalgo,2009,5.83
Hidalgo,2010,4.41
Hidalgo,2011,8.19
Hidalgo,2012,6.19
Hidalgo,2013,6.29
Hidalgo,2014,7.79
Hidalgo,2015,8.51
Hidalgo,2016,7.89
Hidalgo,2017,11.15
Hidalgo,2018,11.91
Hidalgo,2019,16.56
Hidalgo,2020,13.3
Hidalgo,2021,10.12
Hidalgo,2022,13.35
Hidalgo,2023,13.21
Jalisco,2003,7.03
Jalisco,2004,5.95
Jalisco,2005,6.3
Jalisco,2006,6.7
Jalisco,2007,6.12
Jalisco,2008,7.32
Jalisco,2009,9.01
Jalisco,2010,13.98
Jalisco,2011,19.6
Jalisco,2012,19.66
Jalisco,2013,18.48
Jalisco,2014,12.65
Jalisco,2015,14.74
Jalisco,2016,15.33
Jalisco,2017,18.41
Jalisco,2018,33.44
Jalisco,2019,28.38
Jalisco,2020,26.52
Jalisco,2021,26.02
Jalisco,2022,20.64
Jalisco,2023,19.04
México,2003,13.72
México,2004,12.15
México,2005,13.9
México,2006,11.86
México,2007,8.27
México,2008,10.39
México,2009,12.05
México,2010,13.48
México,2011,16.51
México,2012,18.04
México,2013,20.26
México,2014,17.54
México,2015,16.02
México,2016,16.26
México,2017,17.83
México,2018,18.14
México,2019,18.31
México,2020,18.43
México,2021,17.94
México,2022,18.09
México,2023,15.8
Michoacán de Ocampo,2003,14.2
Michoacán de Ocampo,2004,13.78
Michoacán de Ocampo,2005,16.94
Michoacán de Ocampo,2006,24.48
Michoacán de Ocampo,2007,13.79
Michoacán de Ocampo,2008,16.0
Michoacán de Ocampo,2009,22.59
Michoacán de Ocampo,2010,17.32
Michoacán de Ocampo,2011,20.39
Michoacán de Ocampo,2012,19.63
Michoacán de Ocampo,2013,21.79
Michoacán de Ocampo,2014,21.93
Michoacán de Ocampo,2015,20.47
Michoacán de Ocampo,2016,33.34
Michoacán de Ocampo,2017,40.32
Michoacán de Ocampo,2018,48.18
Michoacán de Ocampo,2019,56.96
Michoacán de Ocampo,2020,58.37
Michoacán de Ocampo,2021,63.48
Michoacán de Ocampo,2022,53.14
Michoacán de Ocampo,2023,41.74
Morelos,2003,10.77
Morelos,2004,9.87
Morelos,2005,8.45
Morelos,2006,8.51
Morelos,2007,7.61
Morelos,2008,12.61
Morelos,2009,14.98
Morelos,2010,28.12
Morelos,2011,25.73
Morelos,2012,37.47
Morelos,2013,34.75
Morelos,2014,23.95
Morelos,2015,25.37
Morelos,2016,35.34
Morelos,2017,34.77
Morelos,2018,43.38
Morelos,2019,55.36
Morelos,2020,54.38
Morelos,2021,63.74
Morelos,2022,60.38
Morelos,2023,77.42
Nayarit,2003,11.55
Nayarit,2004,14.23
Nayarit,2005,13.45
Nayarit,2006,10.53
Nayarit,2007,10.53
Nayarit,2008,14.85
Nayarit,2009,18.53
Nayarit,2010,49.82
Nayarit,2011,53.32
Nayarit,2012,25.45
Nayarit,2013,19.65
Nayarit,2014,15.0
Nayarit,2015,12.2
Nayarit,2016,12.43
Nayarit,2017,38.88
Nayarit,2018,32.07
Nayarit,2019,17.33
Nayarit,2020,15.59
Nayarit,2021,18.0
Nayarit,2022,15.31
Nayarit,2023,11.3
Nuevo León,2003,3.72
Nuevo León,2004,2.85
Nuevo León,2005,3.59
Nuevo León,2006,3.91
Nuevo León,2007,6.31
Nuevo León,2008,5.31
Nuevo León,2009,7.36
Nuevo León,2010,19.88
Nuevo León,2011,44.2
Nuevo León,2012,36.23
Nuevo León,2013,17.83
Nuevo León,2014,10.76
Nuevo León,2015,8.64
Nuevo León,2016,11.15
Nuevo León,2017,11.51
Nuevo León,2018,14.36
Nuevo León,2019,16.25
Nuevo León,2020,15.89
Nuevo León,2021,17.9
Nuevo León,2022,22.84
Nuevo León,2023,22.06
Oaxaca,2003,17.38
Oaxaca,2004,17.43
Oaxaca,2005,15.11
Oaxaca,2006,14.24
Oaxaca,2007,15.32
Oaxaca,2008,16.6
Oaxaca,2009,15.96
Oaxaca,2010,19.44
Oaxaca,2011,17.97
Oaxaca,2012,18.19
Oaxaca,2013,19.81
Oaxaca,2014,19.25
Oaxaca,2015,20.74
Oaxaca,2016,20.31
Oaxaca,2017,25.82
Oaxaca,2018,28.45
Oaxaca,2019,29.19
Oaxaca,2020,23.04
Oaxaca,2021,20.01
Oaxaca,2022,19.82
Oaxaca,2023,20.24
Puebla,2003,6.37
Puebla,2004,6.5
Puebla,2005,5.52
Puebla,2006,6.09
Puebla,2007,4.61
Puebla,2008,5.87
Puebla,2009,5.85
Puebla,2010,6.02
Puebla,2011,6.87
Puebla,2012,7.19
Puebla,2013,8.48
Puebla,2014,8.5
Puebla,2015,9.31
Puebla,2016,10.64
Puebla,2017,15.43
Puebla,2018,17.5
Puebla,2019,17.57
Puebla,2020,14.93
Puebla,2021,11.89
Puebla,2022,14.82
Puebla,2023,13.5
Querétaro,2003,5.69
Querétaro,2004,4.98
Querétaro,2005,5.08
Querétaro,2006,3.8
Querétaro,2007,3.32
Querétaro,2008,4.34
Querétaro,2009,5.06
Querétaro,2010,4.08
Querétaro,2011,5.82
Querétaro,2012,5.79
Querétaro,2013,5.96
Querétaro,2014,5.15
Querétaro,2015,6.59
Querétaro,2016,6.26
