estado,año,pibe_millones,poblacion,pibe_per_capita
Yucatán,2007,276669,1999000,138404
Zacatecas,2007,165494,1440000,114926
Aguascalientes,2008,218473,1126000,194026
Baja California,2008,756707,3129000,241837
Baja California Sur,2008,142084,555000,256007
Campeche,2008,828677,745000,1112318
Coahuila de Zaragoza,2008,806977,2630000,306835
Colima,2008,124498,641000,194225
Chiapas,2008,337161,4561000,73923
Chihuahua,2008,696713,3411000,204255
Ciudad de México,2008,3183429,8728000,364738
Durango,2008,261333,1529000,170918
Guanajuato,2008,798104,5207000,153275
Guerrero,2008,288164,3270000,88124
Hidalgo,2008,370255,2469000,149962
Jalisco,2008,1408020,7400000,190273
México,2008,1766744,15199000,116241
Michoacán de Ocampo,2008,511752,4113000,124423
Morelos,2008,231184,1705000,135592
Nayarit,2008,143531,1044000,137482
Nuevo León,2008,1531655,4540000,337369
Oaxaca,2008,388520,3711000,104694
Puebla,2008,674193,6030000,111806
Querétaro,2008,451687,1707000,264609
Quintana Roo,2008,266797,1308000,203973
San Luis Potosí,2008,396937,2555000,155357
Sinaloa,2008,452117,2757000,163989
Sonora,2008,623270,2608000,238984
Tabasco,2008,510292,2078000,245569
Tamaulipas,2008,686326,3225000,212814
Tlaxcala,2008,119842,1104000,108553
Veracruz de Ignacio de la Llave,2008,1013362,7358000,137722
Yucatán,2008,280991,2046000,137337
Zacatecas,2008,172266,1455000,118396
Aguascalientes,2009,201960,1155000,174857
Baja California,2009,658791,3218000,204721
Baja California Sur,2009,134465,574000,234260
Campeche,2009,753909,755000,998555
Coahuila de Zaragoza,2009,647795,2681000,241624
Colima,2009,118472,656000,180598
Chiapas,2009,332433,4626000,71862
Chihuahua,2009,626310,3461000,180962
Ciudad de México,2009,3008812,8732000,344573
Durango,2009,256633,1539000,166753
Guanajuato,2009,761826,5297000,143822
Guerrero,2009,282203,3296000,85620
Hidalgo,2009,354594,2503000,141668
Jalisco,2009,1315482,7534000,174606
México,2009,1656805,15432000,107362
Michoacán de Ocampo,2009,491327,4144000,118563
Morelos,2009,222778,1729000,128848
Nayarit,2009,134903,1063000,126908
Nuevo León,2009,1411039,4661000,302733
Oaxaca,2009,385690,3741000,103098
Puebla,2009,624405,6140000,101695
Querétaro,2009,430538,1760000,244624
Quintana Roo,2009,243054,1369000,177541
San Luis Potosí,2009,372395,2589000,143837
Sinaloa,2009,437071,2785000,156938
Sonora,2009,574218,2651000,216604
Tabasco,2009,523309,2116000,247310
Tamaulipas,2009,630179,3278000,192245
Tlaxcala,2009,114299,1124000,101690
Veracruz de Ignacio de la Llave,2009,996544,7401000,134650
Yucatán,2009,272888,2093000,130381
Zacatecas,2009,180058,1470000,122488
Aguascalientes,2010,219913,1184000,185737
Baja California,2010,686066,3307000,207459
Baja California Sur,2010,138669,593000,233843
Campeche,2010,730232,766000,953305
Coahuila de Zaragoza,2010,775119,2732000,283719
Colima,2010,125596,671000,187177
Chiapas,2010,355979,4692000,75869
Chihuahua,2010,647630,3511000,184457
Ciudad de México,2010,3125717,8737000,357756
Durango,2010,261477,1549000,168804
Guanajuato,2010,812726,5387000,150868
Guerrero,2010,290708,3322000,87510
Hidalgo,2010,358637,2538000,141307
Jalisco,2010,1393675,7669000,181728
México,2010,1773210,15666000,113188
Michoacán de Ocampo,2010,502495,4174000,120387
Morelos,2010,232495,1753000,132627
Nayarit,2010,137487,1082000,127067
Nuevo León,2010,1509564,4784000,315544
Oaxaca,2010,379991,3771000,100767
Puebla,2010,671261,6251000,107385
Querétaro,2010,470415,1814000,259325
Quintana Roo,2010,255104,1430000,178394
San Luis Potosí,2010,393802,2623000,150134
Sinaloa,2010,441733,2813000,157033
Sonora,2010,595753,2694000,221141
Tabasco,2010,548306,2154000,254552
Tamaulipas,2010,642629,3331000,192924
Tlaxcala,2010,121829,1143000,106587
Veracruz de Ignacio de la Llave,2010,1029013,7444000,138234
Yucatán,2010,283033,2141000,132197
Zacatecas,2010,197187,1485000,132786
Aguascalientes,2011,230510,1216000,189564
Baja California,2011,698851,3367000,207559
Baja California Sur,2011,144956,617000,234937
Campeche,2011,711663,778000,914734
Coahuila de Zaragoza,2011,824838,2786000,296065
Colima,2011,133676,687000,194579
Chiapas,2011,361270,4760000,75897
Chihuahua,2011,662043,3536000,187229
Ciudad de México,2011,3231440,8728000,370238
Durango,2011,273067,1558000,175268
Guanajuato,2011,854766,5483000,155894
Guerrero,2011,291758,3351000,87066
Hidalgo,2011,366544,2577000,142237
Jalisco,2011,1433185,7801000,183718
México,2011,1852646,15891000,116585
