estado,año,pct_secundario,pct_terciario
Morelos,2008,29.56,60.75
Nayarit,2008,25.87,60.47
Nuevo León,2008,40.8,51.44
Oaxaca,2008,35.23,55.54
Puebla,2008,33.38,55.92
Querétaro,2008,43.72,47.35
Quintana Roo,2008,13.81,77.63
San Luis Potosí,2008,39.75,50.96
Sinaloa,2008,22.75,61.01
Sonora,2008,44.01,43.13
Tabasco,2008,60.39,34.78
Tamaulipas,2008,45.38,45.83
Tlaxcala,2008,29.74,59.67
Veracruz de Ignacio de la Llave,2008,33.96,55.84
Yucatán,2008,24.58,66.73
Zacatecas,2008,26.91,54.31
Aguascalientes,2009,38.19,50.95
Baja California,2009,41.41,49.06
Baja California Sur,2009,25.85,65.58
Campeche,2009,87.28,11.21
Coahuila de Zaragoza,2009,49.41,42.06
Colima,2009,28.52,62.13
Chiapas,2009,26.49,62.54
Chihuahua,2009,40.24,47.65
Ciudad de México,2009,13.25,80.2
Durango,2009,36.68,49.37
Guanajuato,2009,35.57,54.51
Guerrero,2009,20.62,69.37
Hidalgo,2009,45.91,45.97
Jalisco,2009,29.16,58.32
México,2009,30.68,60.13
Michoacán de Ocampo,2009,22.34,61.96
Morelos,2009,30.9,59.54
Nayarit,2009,24.14,62.58
Nuevo León,2009,40.96,51.53
Oaxaca,2009,36.27,54.63
Puebla,2009,31.37,58.49
Querétaro,2009,43.6,48.05
Quintana Roo,2009,13.98,77.54
San Luis Potosí,2009,39.92,51.26
Sinaloa,2009,22.94,61.61
Sonora,2009,42.13,45.19
Tabasco,2009,63.27,32.33
Tamaulipas,2009,44.58,46.78
Tlaxcala,2009,29.95,60.05
Veracruz de Ignacio de la Llave,2009,35.36,54.65
Yucatán,2009,24.8,66.86
Zacatecas,2009,31.99,50.61
Aguascalientes,2010,39.92,49.49
Baja California,2010,41.27,49.47
Baja California Sur,2010,23.12,68.33
Campeche,2010,86.36,12.05
Coahuila de Zaragoza,2010,54.37,37.59
Colima,2010,28.35,62.68
Chiapas,2010,28.32,61.42
Chihuahua,2010,38.56,49.31
Ciudad de México,2010,11.84,82.06
Durango,2010,35.97,51.13
Guanajuato,2010,35.86,54.59
Guerrero,2010,20.0,70.5
Hidalgo,2010,43.66,48.49
Jalisco,2010,29.22,58.43
México,2010,31.33,59.84
Michoacán de Ocampo,2010,23.3,62.17
Morelos,2010,31.67,59.14
