estado,año,informalidad_pct
Guanajuato,2025,54.34
Guerrero,2005,77.44
Guerrero,2006,75.91
Guerrero,2007,75.93
Guerrero,2008,76.3
Guerrero,2009,78.06
Guerrero,2010,78.24
Guerrero,2011,79.25
Guerrero,2012,79.75
Guerrero,2013,78.4
Guerrero,2014,79.46
Guerrero,2015,80.62
Guerrero,2016,78.91
Guerrero,2017,78.67
Guerrero,2018,77.97
Guerrero,2019,78.89
Guerrero,2020,77.71
Guerrero,2021,77.16
Guerrero,2022,79.02
Guerrero,2023,78.24
Guerrero,2024,77.9
Guerrero,2025,76.35
Hidalgo,2005,75.72
Hidalgo,2006,73.16
Hidalgo,2007,72.97
Hidalgo,2008,74.27
Hidalgo,2009,74.09
Hidalgo,2010,75.22
Hidalgo,2011,75.23
Hidalgo,2012,73.72
Hidalgo,2013,73.5
Hidalgo,2014,71.34
Hidalgo,2015,71.9
Hidalgo,2016,72.51
Hidalgo,2017,73.92
Hidalgo,2018,74.5
Hidalgo,2019,73.63
Hidalgo,2020,72.94
Hidalgo,2021,72.41
Hidalgo,2022,72.55
Hidalgo,2023,71.91
Hidalgo,2024,71.23
Hidalgo,2025,71.32
Jalisco,2005,57.5
Jalisco,2006,55.69
Jalisco,2007,53.16
Jalisco,2008,54.22
Jalisco,2009,56.1
Jalisco,2010,55.75
Jalisco,2011,54.87
Jalisco,2012,56.3
Jalisco,2013,53.9
Jalisco,2014,52.04
Jalisco,2015,50.09
Jalisco,2016,50.2
Jalisco,2017,50.51
Jalisco,2018,49.74
Jalisco,2019,48.89
Jalisco,2020,48.39
Jalisco,2021,47.6
Jalisco,2022,46.75
Jalisco,2023,47.12
Jalisco,2024,47.5
Jalisco,2025,47.04
Michoacán de Ocampo,2005,72.69
Michoacán de Ocampo,2006,71.57
Michoacán de Ocampo,2007,70.49
Michoacán de Ocampo,2008,69.69
Michoacán de Ocampo,2009,70.07
Michoacán de Ocampo,2010,70.14
Michoacán de Ocampo,2011,71.05
Michoacán de Ocampo,2012,70.54
Michoacán de Ocampo,2013,71.88
Michoacán de Ocampo,2014,71.46
Michoacán de Ocampo,2015,70.66
Michoacán de Ocampo,2016,71.49
Michoacán de Ocampo,2017,69.59
Michoacán de Ocampo,2018,69.24
Michoacán de Ocampo,2019,69.05
Michoacán de Ocampo,2020,65.9
Michoacán de Ocampo,2021,65.7
Michoacán de Ocampo,2022,66.92
Michoacán de Ocampo,2023,67.07
Michoacán de Ocampo,2024,66.27
Michoacán de Ocampo,2025,68.49
Morelos,2005,67.79
Morelos,2006,66.37
Morelos,2007,67.22
Morelos,2008,67.61
Morelos,2009,66.35
Morelos,2010,66.63
Morelos,2011,65.52
Morelos,2012,65.51
Morelos,2013,67.2
Morelos,2014,66.18
Morelos,2015,66.98
Morelos,2016,67.77
Morelos,2017,66.66
Morelos,2018,67.36
Morelos,2019,67.88
Morelos,2020,65.84
Morelos,2021,66.8
Morelos,2022,64.88
Morelos,2023,65.38
Morelos,2024,66.69
Morelos,2025,65.1
México,2005,59.33
México,2006,58.0
México,2007,57.93
México,2008,57.39
México,2009,57.4
México,2010,58.32
México,2011,57.24
México,2012,58.01
México,2013,58.53
México,2014,58.7
México,2015,59.62
México,2016,57.54
México,2017,57.03
México,2018,57.88
México,2019,58.08
México,2020,55.89
México,2021,56.67
México,2022,56.48
México,2023,56.05
México,2024,53.71
México,2025,55.42
Nayarit,2005,64.72
Nayarit,2006,62.15
Nayarit,2007,62.38
Nayarit,2008,62.54
Nayarit,2009,63.41
Nayarit,2010,64.45
Nayarit,2011,65.06
Nayarit,2012,65.7
Nayarit,2013,63.67
Nayarit,2014,62.66
Nayarit,2015,62.08
Nayarit,2016,62.76
Nayarit,2017,62.76
Nayarit,2018,62.71
Nayarit,2019,62.9
Nayarit,2020,56.73
Nayarit,2021,57.9
Nayarit,2022,59.52
Nayarit,2023,59.11
Nayarit,2024,59.03
Nayarit,2025,57.97
Nuevo León,2005,39.85
Nuevo León,2006,39.65
Nuevo León,2007,39.46
Nuevo León,2008,40.17
Nuevo León,2009,41.54
Nuevo León,2010,41.9
Nuevo León,2011,41.52
Nuevo León,2012,42.47
Nuevo León,2013,39.24
Nuevo León,2014,37.2
Nuevo León,2015,37.01
Nuevo León,2016,36.59
Nuevo León,2017,36.0
Nuevo León,2018,36.58
Nuevo León,2019,38.02
Nuevo León,2020,36.79
Nuevo León,2021,36.62
Nuevo León,2022,36.63
Nuevo León,2023,36.69
Nuevo León,2024,34.89
Nuevo León,2025,33.95
Oaxaca,2005,81.21
Oaxaca,2006,79.91
Oaxaca,2007,79.61
Oaxaca,2008,80.19
Oaxaca,2009,81.63
Oaxaca,2010,81.11
Oaxaca,2011,80.15
Oaxaca,2012,80.06
Oaxaca,2013,81.06
Oaxaca,2014,79.57
Oaxaca,2015,80.36
Oaxaca,2016,81.97
Oaxaca,2017,81.46
Oaxaca,2018,81.09
Oaxaca,2019,81.4
Oaxaca,2020,78.03
Oaxaca,2021,80.73
Oaxaca,2022,81.2
Oaxaca,2023,80.72
Oaxaca,2024,80.12
Oaxaca,2025,78.73
Puebla,2005,74.12
Puebla,2006,74.99
Puebla,2007,75.25
Puebla,2008,74.94
Puebla,2009,76.13
Puebla,2010,75.08
Puebla,2011,74.68
Puebla,2012,73.15
Puebla,2013,74.18
Puebla,2014,72.08
Puebla,2015,73.59
Puebla,2016,73.65
Puebla,2017,73.67
Puebla,2018,72.72
Puebla,2019,72.35
Puebla,2020,71.46
Puebla,2021,71.8
Puebla,2022,71.16
Puebla,2023,69.94
Puebla,2024,70.0
Puebla,2025,71.34
Querétaro,2005,50.79
Querétaro,2006,48.95
Querétaro,2007,47.84
Querétaro,2008,47.22
Querétaro,2009,49.79
Querétaro,2010,48.08
Querétaro,2011,48.49
Querétaro,2012,49.39
Querétaro,2013,45.21
Querétaro,2014,44.76
Querétaro,2015,45.15
Querétaro,2016,43.45
Querétaro,2017,46.0
Querétaro,2018,43.45
Querétaro,2019,40.85
Querétaro,2020,41.83
Querétaro,2021,43.04
Querétaro,2022,42.77
Querétaro,2023,44.64
Querétaro,2024,42.86
Querétaro,2025,41.05
Quintana Roo,2005,50.42
Quintana Roo,2006,50.2
Quintana Roo,2007,49.31
Quintana Roo,2008,49.11
Quintana Roo,2009,49.67
Quintana Roo,2010,50.29
Quintana Roo,2011,50.31
Quintana Roo,2012,50.74
Quintana Roo,2013,48.03
Quintana Roo,2014,46.96
Quintana Roo,2015,46.54
Quintana Roo,2016,46.81
Quintana Roo,2017,46.82
Quintana Roo,2018,46.28
Quintana Roo,2019,46.12
Quintana Roo,2020,47.73
Quintana Roo,2021,48.1
Quintana Roo,2022,46.58
Quintana Roo,2023,45.88
Quintana Roo,2024,44.72
Quintana Roo,2025,43.71
San Luis Potosí,2005,62.33
San Luis Potosí,2006,61.76
San Luis Potosí,2007,61.14
San Luis Potosí,2008,61.23
San Luis Potosí,2009,60.57
San Luis Potosí,2010,59.42
San Luis Potosí,2011,58.92
San Luis Potosí,2012,58.38
San Luis Potosí,2013,58.04
San Luis Potosí,2014,57.77
San Luis Potosí,2015,57.56
San Luis Potosí,2016,57.62
San Luis Potosí,2017,54.83
San Luis Potosí,2018,54.93
San Luis Potosí,2019,55.4
San Luis Potosí,2020,54.15
San Luis Potosí,2021,55.66
San Luis Potosí,2022,54.48
San Luis Potosí,2023,53.72
San Luis Potosí,2024,54.13
San Luis Potosí,2025,56.29
Sinaloa,2005,56.83
Sinaloa,2006,54.91
Sinaloa,2007,52.9
Sinaloa,2008,52.52
Sinaloa,2009,53.28
Sinaloa,2010,53.06
Sinaloa,2011,53.12
Sinaloa,2012,54.33
Sinaloa,2013,50.75
Sinaloa,2014,49.75
Sinaloa,2015,50.7
Sinaloa,2016,50.76
Sinaloa,2017,49.87
Sinaloa,2018,49.84
Sinaloa,2019,50.75
Sinaloa,2020,46.95
Sinaloa,2021,47.95
Sinaloa,2022,47.95
Sinaloa,2023,47.51
Sinaloa,2024,47.82
Sinaloa,2025,47.04
Sonora,2005,47.23
Sonora,2006,44.27
Sonora,2007,43.57
Sonora,2008,46.51
Sonora,2009,48.1
Sonora,2010,47.97
Sonora,2011,47.08
Sonora,2012,46.87
Sonora,2013,45.06
Sonora,2014,43.74
Sonora,2015,44.43
Sonora,2016,44.19
Sonora,2017,43.92
Sonora,2018,43.22
Sonora,2019,42.84
Sonora,2020,43.37
Sonora,2021,41.47
Sonora,2022,41.37
Sonora,2023,41.74
Sonora,2024,40.86
Sonora,2025,43.4
Tabasco,2005,63.96
Tabasco,2006,62.22
Tabasco,2007,62.46
Tabasco,2008,62.94
Tabasco,2009,64.58
Tabasco,2010,65.42
Tabasco,2011,64.71
Tabasco,2012,63.21
Tabasco,2013,63.47
Tabasco,2014,63.09
Tabasco,2015,63.78
Tabasco,2016,65.64
Tabasco,2017,67.86
Tabasco,2018,66.77
Tabasco,2019,65.33
Tabasco,2020,63.7
Tabasco,2021,64.89
Tabasco,2022,63.7
Tabasco,2023,62.44
Tabasco,2024,63.91
Tabasco,2025,66.97
Tamaulipas,2005,46.43
Tamaulipas,2006,44.93
Tamaulipas,2007,44.87
Tamaulipas,2008,45.84
Tamaulipas,2009,48.9
Tamaulipas,2010,49.67
Tamaulipas,2011,51.65
Tamaulipas,2012,50.29
Tamaulipas,2013,48.54
Tamaulipas,2014,46.31
Tamaulipas,2015,46.47
Tamaulipas,2016,47.35
Tamaulipas,2017,45.94
Tamaulipas,2018,44.26
Tamaulipas,2019,44.18
Tamaulipas,2020,43.41
Tamaulipas,2021,45.05
Tamaulipas,2022,44.84
Tamaulipas,2023,43.75
Tamaulipas,2024,43.57
Tamaulipas,2025,45.68
Tlaxcala,2005,71.66
Tlaxcala,2006,71.15
Tlaxcala,2007,70.84
Tlaxcala,2008,71.93
Tlaxcala,2009,74.13
Tlaxcala,2010,73.84
Tlaxcala,2011,72.98
Tlaxcala,2012,73.53
Tlaxcala,2013,72.94
Tlaxcala,2014,72.84
Tlaxcala,2015,72.09
Tlaxcala,2016,72.66
Tlaxcala,2017,71.32
Tlaxcala,2018,72.06
Tlaxcala,2019,71.69
Tlaxcala,2020,71.02
Tlaxcala,2021,71.56
Tlaxcala,2022,71.57
Tlaxcala,2023,70.77
Tlaxcala,2024,69.74
Tlaxcala,2025,71.38
Veracruz de Ignacio de la Llave,2005,67.45
Veracruz de Ignacio de la Llave,2006,66.64
Veracruz de Ignacio de la Llave,2007,66.3
Veracruz de Ignacio de la Llave,2008,65.53
Veracruz de Ignacio de la Llave,2009,66.36
Veracruz de Ignacio de la Llave,2010,65.33
Veracruz de Ignacio de la Llave,2011,67.14
Veracruz de Ignacio de la Llave,2012,68.17
