estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Aguascalientes,2008,218473,1126000,194026,37.89,50.83,47.4,9.23,337.49,346.0,5.24
Baja California,2008,756707,3129000,241837,44.67,46.0,40.05,9.26,1454.14,348.16,32.95
Baja California Sur,2008,142084,555000,256007,25.42,65.97,39.12,9.4,810.58,36.13,6.85
Campeche,2008,828677,745000,1112318,87.91,10.67,60.06,8.51,150.05,75.8,7.25
Coahuila de Zaragoza,2008,806977,2630000,306835,55.02,36.36,42.26,9.47,583.08,289.93,6.84
Colima,2008,124498,641000,194225,28.19,61.21,51.58,8.95,187.54,192.29,8.89
Chiapas,2008,337161,4561000,73923,26.48,62.67,77.03,6.67,63.2,844.68,5.77
Chihuahua,2008,696713,3411000,204255,41.48,46.91,43.55,8.82,2625.23,494.47,76.25
Ciudad de México,2008,3183429,8728000,364738,13.56,79.7,47.9,10.54,7730.79,1128.68,10.66
Durango,2008,261333,1529000,170918,36.0,50.25,51.17,8.58,488.13,460.36,27.47
Guanajuato,2008,798104,5207000,153275,36.28,53.7,60.68,7.73,751.78,2413.75,5.67
Guerrero,2008,288164,3270000,88124,19.82,69.42,76.3,7.27,574.95,1494.66,30.73
Hidalgo,2008,370255,2469000,149962,45.59,45.99,74.27,8.1,121.74,1000.8,3.04
Jalisco,2008,1408020,7400000,190273,29.35,57.3,54.22,8.78,1040.67,1993.57,7.32
México,2008,1766744,15199000,116241,31.44,58.8,57.39,9.1,2345.89,2152.14,10.39
Michoacán de Ocampo,2008,511752,4113000,124423,24.35,59.71,69.69,7.42,187.21,2549.94,16.0
Morelos,2008,231184,1705000,135592,29.56,60.75,67.61,8.9,284.79,648.29,12.61
Nayarit,2008,143531,1044000,137482,25.87,60.47,62.54,8.61,164.64,392.09,14.85
Nuevo León,2008,1531655,4540000,337369,40.8,51.44,40.17,9.81,1670.88,337.21,5.31
Oaxaca,2008,388520,3711000,104694,35.23,55.54,80.19,6.94,201.18,1585.4,16.6
Puebla,2008,674193,6030000,111806,33.38,55.92,74.94,7.95,381.13,1682.39,5.87
Querétaro,2008,451687,1707000,264609,43.72,47.35,47.22,8.92,1071.5,454.52,4.34
Quintana Roo,2008,266797,1308000,203973,13.81,77.63,49.11,9.12,297.56,101.38,11.01
San Luis Potosí,2008,396937,2555000,155357,39.75,50.96,61.23,8.26,460.73,792.46,7.79
Sinaloa,2008,452117,2757000,163989,22.75,61.01,52.52,9.08,175.92,507.82,29.89
Sonora,2008,623270,2608000,238984,44.01,43.13,46.51,9.42,1579.03,323.81,16.72
Tabasco,2008,510292,2078000,245569,60.39,34.78,62.94,8.64,135.08,162.47,7.36
Tamaulipas,2008,686326,3225000,212814,45.38,45.83,45.84,9.12,932.43,521.34,8.25
Tlaxcala,2008,119842,1104000,108553,29.74,59.67,71.93,8.78,123.71,317.89,4.8
Veracruz de Ignacio de la Llave,2008,1013362,7358000,137722,33.96,55.84,65.53,7.67,607.78,1685.21,4.62
Yucatán,2008,280991,2046000,137337,24.58,66.73,62.42,8.22,146.1,141.72,2.39
Zacatecas,2008,172266,1455000,118396,26.91,54.31,66.41,7.9,1836.46,709.84,6.87
Aguascalientes,2009,201960,1155000,174857,38.19,50.95,48.09,9.23,342.21,293.05,5.8
Baja California,2009,658791,3218000,204721,41.41,49.06,42.17,9.26,829.52,334.35,47.55
Baja California Sur,2009,134465,574000,234260,25.85,65.58,41.44,9.4,449.53,33.14,5.92
Campeche,2009,753909,755000,998555,87.28,11.21,61.16,8.51,26.17,57.97,7.68
Coahuila de Zaragoza,2009,647795,2681000,241624,49.41,42.06,43.37,9.47,381.21,243.15,10.37
Colima,2009,118472,656000,180598,28.52,62.13,53.64,8.95,134.86,171.14,9.3
Chiapas,2009,332433,4626000,71862,26.49,62.54,76.99,6.67,91.88,633.11,11.11
Chihuahua,2009,626310,3461000,180962,40.24,47.65,47.37,8.82,1424.71,423.48,106.07
Ciudad de México,2009,3008812,8732000,344573,13.25,80.2,48.68,10.54,5254.64,1002.86,11.21
Durango,2009,256633,1539000,166753,36.68,49.37,53.67,8.58,127.37,389.17,65.82
Guanajuato,2009,761826,5297000,143822,35.57,54.51,62.78,7.73,508.6,2019.55,9.27
Guerrero,2009,282203,3296000,85620,20.62,69.37,78.06,7.27,136.01,1246.35,56.28
Hidalgo,2009,354594,2503000,141668,45.91,45.97,74.09,8.1,111.46,780.93,5.83
Jalisco,2009,1315482,7534000,174606,29.16,58.32,56.1,8.78,1005.72,1760.2,9.01
México,2009,1656805,15432000,107362,30.68,60.13,57.4,9.1,1592.38,1766.03,12.05
Michoacán de Ocampo,2009,491327,4144000,118563,22.34,61.96,70.07,7.42,156.48,2214.13,22.59
Morelos,2009,222778,1729000,128848,30.9,59.54,66.35,8.9,121.69,569.14,14.98
Nayarit,2009,134903,1063000,126908,24.14,62.58,63.41,8.61,104.01,354.7,18.53
Nuevo León,2009,1411039,4661000,302733,40.96,51.53,41.54,9.81,952.56,304.23,7.36
Oaxaca,2009,385690,3741000,103098,36.27,54.63,81.63,6.94,235.93,1348.24,15.96
Puebla,2009,624405,6140000,101695,31.37,58.49,76.13,7.95,182.55,1427.54,5.85
Querétaro,2009,430538,1760000,244624,43.6,48.05,49.79,8.92,1131.61,373.99,5.06
Quintana Roo,2009,243054,1369000,177541,13.98,77.54,49.67,9.12,291.22,88.84,10.3
San Luis Potosí,2009,372395,2589000,143837,39.92,51.26,60.57,8.26,85.03,650.8,8.11
Sinaloa,2009,437071,2785000,156938,22.94,61.61,53.28,9.08,149.96,474.25,51.53
Sonora,2009,574218,2651000,216604,42.13,45.19,48.1,9.42,358.42,289.39,21.54
Tabasco,2009,523309,2116000,247310,63.27,32.33,64.58,8.64,90.37,118.81,8.18
Tamaulipas,2009,630179,3278000,192245,44.58,46.78,48.9,9.12,603.16,430.87,9.61
Tlaxcala,2009,114299,1124000,101690,29.95,60.05,74.13,8.78,72.19,268.76,7.21
Veracruz de Ignacio de la Llave,2009,996544,7401000,134650,35.36,54.65,66.36,7.67,518.41,1346.08,9.36
Yucatán,2009,272888,2093000,130381,24.8,66.86,63.56,8.22,79.88,114.15,1.77
Zacatecas,2009,180058,1470000,122488,31.99,50.61,67.29,7.9,301.52,595.33,8.91
Aguascalientes,2010,219913,1184000,185737,39.92,49.49,48.15,9.23,333.15,303.4,6.33
Baja California,2010,686066,3307000,207459,41.27,49.47,43.0,9.26,1414.82,359.18,46.21
Baja California Sur,2010,138669,593000,233843,23.12,68.33,42.64,9.4,517.75,34.83,9.27
Campeche,2010,730232,766000,953305,86.36,12.05,60.93,8.51,73.2,56.83,6.27
Coahuila de Zaragoza,2010,775119,2732000,283719,54.37,37.59,43.34,9.47,751.2,241.57,16.43
Colima,2010,125596,671000,187177,28.35,62.68,54.5,8.95,264.84,177.05,19.52
Chiapas,2010,355979,4692000,75869,28.32,61.42,77.44,6.67,157.68,593.0,4.24
Chihuahua,2010,647630,3511000,184457,38.56,49.31,45.43,8.82,1847.78,410.7,182.48
Ciudad de México,2010,3125717,8737000,357756,11.84,82.06,48.9,10.54,4064.56,1031.48,12.33
Durango,2010,261477,1549000,168804,35.97,51.13,55.11,8.58,414.06,391.32,71.59
Guanajuato,2010,812726,5387000,150868,35.86,54.59,61.75,7.73,399.27,2045.24,8.26
Guerrero,2010,290708,3322000,87510,20.0,70.5,78.24,7.27,139.55,1240.3,46.81
Hidalgo,2010,358637,2538000,141307,43.66,48.49,75.22,8.1,380.35,738.6,4.41
Jalisco,2010,1393675,7669000,181728,29.22,58.43,55.75,8.78,2210.3,1812.19,13.98
México,2010,1773210,15666000,113188,31.33,59.84,58.32,9.1,2028.38,1690.43,13.48
Michoacán de Ocampo,2010,502495,4174000,120387,23.3,62.17,70.14,7.42,158.2,2213.74,17.32
Morelos,2010,232495,1753000,132627,31.67,59.14,66.63,8.9,199.38,572.77,28.12
Nayarit,2010,137487,1082000,127067,22.4,65.07,64.45,8.61,178.13,348.28,49.82
Nuevo León,2010,1509564,4784000,315544,41.22,51.65,41.9,9.81,4850.89,293.15,19.88
Oaxaca,2010,379991,3771000,100767,35.72,55.96,81.11,6.94,117.57,1338.4,19.44
Puebla,2010,671261,6251000,107385,32.98,57.47,75.08,7.95,772.9,1415.46,6.02
Querétaro,2010,470415,1814000,259325,44.44,47.32,48.08,8.92,852.03,365.97,4.08
Quintana Roo,2010,255104,1430000,178394,11.49,80.18,50.29,9.12,296.7,89.6,10.14
San Luis Potosí,2010,393802,2623000,150134,39.82,51.58,59.42,8.26,473.49,649.73,13.95
Sinaloa,2010,441733,2813000,157033,23.48,62.69,53.06,9.08,217.62,485.4,86.14
Sonora,2010,595753,2694000,221141,41.24,46.26,47.97,9.42,1109.37,301.43,27.39
Tabasco,2010,548306,2154000,254552,63.43,32.51,65.42,8.64,141.26,114.94,8.96
Tamaulipas,2010,642629,3331000,192924,43.89,47.68,49.67,9.12,1035.88,415.27,28.07
Tlaxcala,2010,121829,1143000,106587,31.02,59.22,73.84,8.78,91.17,266.85,4.99
Veracruz de Ignacio de la Llave,2010,1029013,7444000,138234,34.76,55.8,65.33,7.67,1230.77,1277.41,6.19
Yucatán,2010,283033,2141000,132197,24.61,67.26,63.4,8.22,94.82,116.33,1.59
Zacatecas,2010,197187,1485000,132786,34.8,48.25,65.23,7.9,381.92,600.48,9.63
Aguascalientes,2011,230510,1216000,189564,39.85,49.56,48.02,9.33,236.81,316.32,6.74
Baja California,2011,698851,3367000,207559,40.3,50.7,43.38,9.36,766.32,409.71,24.03
Baja California Sur,2011,144956,617000,234937,23.24,68.64,41.87,9.5,711.28,37.85,6.81
Campeche,2011,711663,778000,914734,85.59,12.84,62.27,8.64,24.8,59.7,6.04
Coahuila de Zaragoza,2011,824838,2786000,296065,54.94,36.98,42.51,9.56,647.14,255.03,26.2
Colima,2011,133676,687000,194579,30.15,61.03,55.02,9.07,154.61,189.82,23.73
Chiapas,2011,361270,4760000,75897,27.45,62.69,77.51,6.79,92.81,614.24,3.91
Chihuahua,2011,662043,3536000,187229,37.8,50.14,44.99,8.95,1218.11,432.97,127.26
Ciudad de México,2011,3231440,8728000,370238,11.75,82.33,49.05,10.66,7507.6,1189.58,12.61
Durango,2011,273067,1558000,175268,37.05,51.11,53.97,8.69,228.62,430.22,68.23
Guanajuato,2011,854766,5483000,155894,36.3,54.47,62.58,7.86,1424.69,2226.19,11.22
Guerrero,2011,291758,3351000,87066,19.34,71.41,79.25,7.38,241.8,1303.5,72.1
Hidalgo,2011,366544,2577000,142237,43.4,49.33,75.23,8.22,265.53,787.59,8.19
Jalisco,2011,1433185,7801000,183718,29.18,59.09,54.87,8.87,1036.3,1957.65,19.6
México,2011,1852646,15891000,116585,31.33,60.29,57.24,9.19,2712.08,1712.49,16.51
Michoacán de Ocampo,2011,522287,4193000,124562,23.26,61.8,71.05,7.52,150.68,2318.3,20.39
Morelos,2011,241158,1772000,136094,31.58,59.59,65.52,8.98,102.46,605.96,25.73
Nayarit,2011,141215,1101000,128261,22.39,64.5,65.06,8.72,147.66,368.0,53.32
Nuevo León,2011,1558835,4919000,316901,40.86,52.38,41.52,9.9,1679.24,319.01,44.2
Oaxaca,2011,385968,3796000,101678,36.44,55.53,80.15,7.06,178.12,1474.08,17.97
Puebla,2011,707410,6357000,111280,33.47,57.44,74.68,8.06,594.45,1517.59,6.87
Querétaro,2011,509818,1874000,272048,44.77,47.26,48.49,9.05,1054.79,395.83,5.82
Quintana Roo,2011,268259,1495000,179437,11.68,80.22,50.31,9.22,504.6,95.08,10.9
San Luis Potosí,2011,416108,2660000,156432,41.24,50.67,58.92,8.37,268.26,723.71,13.68
Sinaloa,2011,452499,2843000,159163,23.04,64.05,53.12,9.18,230.94,528.52,70.0
Sonora,2011,648753,2737000,237031,44.02,44.5,47.08,9.54,304.14,337.56,19.8
Tabasco,2011,569066,2196000,259138,63.48,32.67,64.71,8.77,233.24,115.37,10.47
Tamaulipas,2011,647448,3387000,191157,42.15,49.89,51.65,9.2,842.87,459.85,31.8
Tlaxcala,2011,125891,1165000,108061,31.63,60.13,72.98,8.88,251.23,283.53,7.47
Veracruz de Ignacio de la Llave,2011,1047542,7454000,140534,34.06,56.72,67.14,7.78,1189.12,1314.59,13.42
Yucatán,2011,289261,2194000,131842,24.11,67.81,63.7,8.34,165.54,121.65,2.42
Zacatecas,2011,197227,1499000,131572,35.76,49.91,64.45,8.05,466.73,645.86,19.35
Aguascalientes,2012,242758,1248000,194518,40.48,49.0,49.65,9.43,355.21,345.23,3.61
Baja California,2012,726418,3428000,211907,40.71,50.37,44.74,9.46,1018.52,482.63,16.95
Baja California Sur,2012,147270,642000,229393,20.99,70.7,41.64,9.6,720.63,42.94,5.76
Campeche,2012,691262,789000,876124,84.82,13.59,62.32,8.76,209.67,57.72,10.14
Coahuila de Zaragoza,2012,870635,2840000,306562,55.75,36.44,43.39,9.64,539.37,294.32,40.85
Colima,2012,135600,703000,192888,29.32,62.92,54.88,9.18,60.46,186.97,37.7
Chiapas,2012,370237,4829000,76669,27.22,63.1,77.32,6.92,121.09,594.35,8.08
Chihuahua,2012,711481,3561000,199798,40.35,48.55,42.21,9.08,1186.89,484.51,77.84
Ciudad de México,2012,3332209,8720000,382134,11.92,82.34,49.52,10.77,1337.46,1051.48,12.45
Durango,2012,286058,1568000,182435,36.71,50.96,56.6,8.81,268.39,447.42,52.42
Guanajuato,2012,892379,5580000,159925,36.64,54.54,62.96,7.99,1321.19,2219.07,12.26
Guerrero,2012,294551,3380000,87145,19.37,71.72,79.75,7.48,164.28,1277.58,78.28
Hidalgo,2012,379811,2616000,145188,43.18,49.31,73.72,8.35,178.81,748.72,6.19
Jalisco,2012,1488617,7935000,187601,29.12,58.76,56.3,8.97,1415.26,1954.62,19.66
México,2012,1911402,16118000,118588,30.6,60.95,58.01,9.27,3119.58,1622.89,18.04
Michoacán de Ocampo,2012,531827,4212000,126265,23.03,62.04,70.54,7.62,335.97,2292.8,19.63
Morelos,2012,248100,1791000,138526,31.36,60.09,65.51,9.06,274.32,582.48,37.47
Nayarit,2012,142898,1120000,127588,23.36,63.68,65.7,8.83,157.26,352.39,25.45
Nuevo León,2012,1621930,5056000,320793,40.35,53.17,42.47,9.99,1281.12,352.91,36.23
Oaxaca,2012,386538,3821000,101161,35.42,56.59,80.06,7.17,353.7,1417.76,18.19
Puebla,2012,747712,6464000,115673,34.52,56.32,73.15,8.17,775.32,1456.31,7.19
Querétaro,2012,526761,1935000,272228,44.69,47.35,49.39,9.17,105.4,392.89,5.79
