estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Sonora,2014,721989,2869000,251652,44.66,44.63,43.74,9.88,815.33,348.45,23.32
Tabasco,2014,594889,2323000,256087,61.74,34.52,63.09,9.18,241.66,135.43,10.12
Tamaulipas,2014,687653,3558000,193270,41.62,50.14,46.31,9.43,723.9,858.84,25.66
Tlaxcala,2014,130496,1232000,105922,31.22,59.61,72.84,9.17,120.71,226.33,7.14
Veracruz de Ignacio de la Llave,2014,1074852,7484000,143620,34.25,56.59,68.33,8.09,1271.25,1083.44,11.8
Yucatán,2014,312686,2356000,132719,23.33,69.21,62.57,8.7,86.09,133.58,1.99
Zacatecas,2014,211201,1543000,136877,34.3,49.21,64.79,8.48,758.91,724.19,12.9
Aguascalientes,2015,294497,1347000,218632,44.43,45.26,43.74,9.73,812.58,357.1,3.34
Baja California,2015,795081,3611000,220183,42.81,48.36,39.63,9.76,1167.28,673.48,23.65
Baja California Sur,2015,156072,721000,216466,21.26,69.95,39.99,9.91,352.01,52.37,24.97
Campeche,2015,700311,824000,849892,83.15,14.23,61.34,9.14,543.01,58.16,8.13
Coahuila de Zaragoza,2015,897702,3005000,298736,54.74,37.43,35.38,9.9,1367.22,411.92,10.42
Colima,2015,141029,751000,187788,29.32,63.75,53.77,9.53,165.32,234.78,30.23
Chiapas,2015,364001,5039000,72237,22.72,67.27,79.03,7.29,270.08,593.23,10.7
Chihuahua,2015,803883,3636000,221090,42.13,46.04,36.77,9.47,2524.52,662.82,42.35
Ciudad de México,2015,3503520,8697000,402842,9.67,84.64,50.42,11.12,5909.21,1094.2,12.42
Durango,2015,300289,1597000,188033,37.39,50.53,56.07,9.15,231.1,610.44,12.4
Guanajuato,2015,1026150,5877000,174604,40.93,49.86,57.53,8.38,1752.81,2257.76,16.51
Guerrero,2015,314104,3467000,90598,20.61,71.24,80.62,7.8,164.13,1313.13,69.92
Hidalgo,2015,413909,2737000,151227,42.26,50.61,71.9,8.72,523.73,748.3,8.51
Jalisco,2015,1626751,8344000,194961,30.21,57.64,50.09,9.25,3138.4,2226.07,14.74
México,2015,2007572,16805000,119463,29.78,62.66,59.62,9.53,2959.76,1602.5,16.02
Michoacán de Ocampo,2015,573506,4269000,134342,21.47,62.73,70.66,7.93,419.03,2550.93,20.47
Morelos,2015,265751,1849000,143727,31.51,59.83,66.98,9.3,485.93,589.68,25.37
Nayarit,2015,147429,1180000,124940,21.72,66.98,62.08,9.16,99.04,402.34,12.2
Nuevo León,2015,1728164,5474000,315704,39.83,53.64,37.01,10.27,3362.49,653.89,8.64
Oaxaca,2015,401404,3896000,103030,34.6,57.46,80.36,7.52,297.2,1299.08,20.74
Puebla,2015,765650,6791000,112745,33.89,56.91,73.59,8.49,791.46,1373.48,9.31
Querétaro,2015,574578,2124000,270517,43.49,48.34,45.15,9.55,1442.47,469.91,6.59
Quintana Roo,2015,318608,1764000,180617,11.88,80.21,46.54,9.62,325.28,124.25,8.22
San Luis Potosí,2015,480025,2809000,170888,43.15,48.03,57.56,8.82,1899.06,869.76,9.47
Sinaloa,2015,485181,2964000,163691,18.26,66.81,50.7,9.58,428.67,540.97,37.04
Sonora,2015,760031,2914000,260821,45.47,43.54,44.43,10.0,609.95,409.09,20.08
Tabasco,2015,553280,2366000,233846,57.65,37.95,63.78,9.31,737.49,185.67,15.72
Tamaulipas,2015,712997,3616000,197178,41.96,50.04,46.47,9.51,1103.24,694.15,18.86
Tlaxcala,2015,137054,1255000,109206,32.75,57.83,72.09,9.27,152.52,305.66,6.37
Veracruz de Ignacio de la Llave,2015,1082922,7494000,144505,33.02,57.42,68.76,8.2,1589.12,1091.37,13.42
Yucatán,2015,322098,2411000,133595,23.72,68.78,62.14,8.82,213.49,143.53,2.41
Zacatecas,2015,214605,1557000,137832,33.49,49.75,64.7,8.63,107.58,776.49,21.64
Aguascalientes,2016,307396,1382000,222428,44.29,45.53,43.89,9.85,594.88,405.7,3.33
Baja California,2016,828692,3681000,225127,42.53,48.88,39.54,9.85,1567.13,683.56,31.3
Baja California Sur,2016,163095,750000,217460,20.72,70.41,38.61,10.0,510.79,56.12,31.73
Campeche,2016,663239,835000,794298,83.08,14.23,61.98,9.24,142.17,67.01,11.14
Coahuila de Zaragoza,2016,901719,3062000,294487,54.14,37.99,37.05,10.01,1209.59,430.93,8.39
Colima,2016,140705,767000,183449,27.64,64.9,52.59,9.63,-24.22,257.96,79.92
Chiapas,2016,369919,5110000,72391,22.62,67.29,79.63,7.39,139.79,593.04,10.8
Chihuahua,2016,830489,3666000,226538,42.3,46.47,34.68,9.58,1986.07,715.53,48.77
Ciudad de México,2016,3571368,8696000,410691,9.73,84.59,47.94,11.19,6750.16,1435.33,14.71
Durango,2016,305382,1606000,190151,36.2,51.53,53.06,9.27,275.94,621.16,13.33
Guanajuato,2016,1064743,5977000,178140,41.86,48.93,55.75,8.51,1332.59,2459.62,20.61
Guerrero,2016,313422,3493000,89729,20.43,71.01,78.91,7.91,180.67,1406.41,74.26
Hidalgo,2016,418466,2776000,150744,40.59,52.33,72.51,8.85,444.57,785.21,7.89
Jalisco,2016,1676419,8479000,197714,29.55,58.54,50.2,9.38,2102.27,2581.18,15.33
México,2016,2058753,17027000,120911,29.1,63.29,57.54,9.64,2407.82,1650.22,16.26
Michoacán de Ocampo,2016,591410,4283000,138083,20.39,62.34,71.49,8.06,193.92,2821.46,33.34
Morelos,2016,274365,1865000,147113,31.51,59.73,67.77,9.41,234.87,597.77,35.34
Nayarit,2016,152586,1199000,127261,21.44,66.87,62.76,9.27,85.58,448.36,12.43
Nuevo León,2016,1743961,5621000,310258,38.53,54.77,36.59,10.36,3348.86,664.18,11.15
Oaxaca,2016,399768,3919000,102008,34.04,57.68,81.97,7.64,195.53,1460.94,20.31
Puebla,2016,781511,6905000,113180,33.95,56.98,73.65,8.62,1166.54,1501.13,10.64
Querétaro,2016,576735,2189000,263470,42.55,49.32,43.45,9.74,1075.47,534.74,6.26
Quintana Roo,2016,339733,1838000,184838,11.81,80.16,46.81,9.74,296.51,133.38,10.5
San Luis Potosí,2016,505856,2847000,177680,44.87,46.19,57.62,8.98,814.93,986.27,11.66
Sinaloa,2016,507492,2993000,169560,18.89,66.01,50.76,9.71,434.87,637.71,43.53
Sonora,2016,792034,2958000,267760,46.16,43.06,44.19,10.08,506.39,422.62,19.61
Tabasco,2016,532829,2407000,221366,57.08,38.45,65.64,9.39,112.75,158.59,17.91
Tamaulipas,2016,709960,3673000,193292,40.36,51.39,47.35,9.63,1149.5,669.89,21.97
Tlaxcala,2016,139168,1277000,108980,33.01,57.69,72.66,9.38,253.12,239.85,7.52
Veracruz de Ignacio de la Llave,2016,1059514,7513000,141024,31.99,58.48,69.66,8.31,1045.51,1155.79,17.21
Yucatán,2016,336108,2469000,136131,24.89,67.74,62.4,8.97,125.14,146.44,2.59
Zacatecas,2016,216655,1572000,137821,33.42,50.02,62.45,8.75,532.62,903.05,37.15
Aguascalientes,2017,314242,1418000,221609,44.57,45.29,43.44,9.98,1576.34,444.72,5.92
Baja California,2017,863601,3751000,230232,42.84,48.55,39.07,9.94,1679.27,764.64,57.82
Baja California Sur,2017,170784,780000,218954,21.2,70.16,39.58,10.08,568.94,67.96,96.28
Campeche,2017,595667,847000,703267,81.66,15.58,63.59,9.34,328.35,77.44,9.21
Coahuila de Zaragoza,2017,941582,3119000,301886,54.86,37.35,36.97,10.11,2672.54,535.43,8.82
Colima,2017,150360,783000,192031,28.96,63.81,51.24,9.74,132.22,311.52,110.73
Chiapas,2017,359734,5182000,69420,21.0,68.91,79.69,7.49,217.09,668.28,11.4
Chihuahua,2017,851284,3695000,230388,42.28,46.04,35.56,9.68,1825.31,828.5,60.84
Ciudad de México,2017,3646318,8695000,419358,9.25,85.02,47.82,11.26,5123.85,1330.21,15.18
Durango,2017,304647,1615000,188636,36.45,51.28,53.6,9.39,131.11,736.76,12.38
Guanajuato,2017,1115371,6079000,183479,41.82,48.96,56.01,8.64,1677.92,2806.23,37.59
Guerrero,2017,308568,3518000,87711,19.01,72.39,78.67,8.03,410.41,1535.04,74.96
Hidalgo,2017,416409,2815000,147925,39.32,53.62,73.92,8.98,349.36,858.92,11.15
Jalisco,2017,1708140,8617000,198229,29.67,58.47,50.51,9.51,1552.89,2917.94,18.41
México,2017,2166132,17251000,125566,30.07,62.49,57.03,9.75,3761.43,1814.48,17.83
Michoacán de Ocampo,2017,610394,4296000,142084,19.8,62.47,69.59,8.2,294.69,3123.36,40.32
Morelos,2017,277403,1881000,147476,31.96,59.32,66.66,9.52,603.07,661.63,34.77
Nayarit,2017,155110,1219000,127244,20.27,68.0,62.76,9.39,103.15,508.46,38.88
Nuevo León,2017,1809344,5770000,313578,38.42,54.92,36.0,10.46,1996.24,883.68,11.51
Oaxaca,2017,358236,3942000,90877,26.44,64.74,81.46,7.76,484.81,1580.44,25.82
Puebla,2017,835369,7020000,118998,36.42,54.57,73.67,8.76,953.57,1661.81,15.43
Querétaro,2017,591415,2256000,262152,42.85,49.02,46.0,9.92,986.0,607.59,9.66
Quintana Roo,2017,357117,1913000,186679,10.59,81.41,46.82,9.87,479.35,150.31,23.78
San Luis Potosí,2017,540244,2885000,187260,46.63,44.34,54.83,9.14,1405.86,1156.7,17.57
Sinaloa,2017,518703,3022000,171642,18.9,66.59,49.87,9.84,761.57,739.55,54.27
Sonora,2017,784601,3003000,261272,45.63,43.17,43.92,10.16,368.13,459.61,25.34
Tabasco,2017,502351,2449000,205125,55.26,39.95,67.86,9.46,400.38,169.67,18.37
Tamaulipas,2017,709150,3731000,190070,39.36,52.5,45.94,9.74,1543.21,740.58,32.27
Tlaxcala,2017,143920,1300000,110708,34.59,56.29,71.32,9.49,168.05,257.11,9.69
Veracruz de Ignacio de la Llave,2017,1032744,7533000,137096,29.6,60.56,69.31,8.42,914.92,1324.26,24.57
Yucatán,2017,349599,2527000,138345,25.85,66.79,61.95,9.13,114.17,184.62,2.06
Zacatecas,2017,220568,1587000,138984,33.41,50.44,61.48,8.88,457.64,1035.46,44.68
Aguascalientes,2018,327926,1454000,225534,44.44,45.57,42.88,10.1,1196.98,486.17,5.64
Baja California,2018,878817,3822000,229936,42.12,49.22,39.44,10.02,1631.15,875.12,76.19
Baja California Sur,2018,184618,811000,227642,24.04,67.52,37.93,10.17,443.06,79.65,24.66
Campeche,2018,564591,859000,657265,80.89,16.33,62.57,9.43,123.49,81.73,9.2
Coahuila de Zaragoza,2018,966055,3177000,304078,54.64,37.49,35.31,10.22,3290.19,605.67,7.68
Colima,2018,153808,799000,192501,26.23,66.39,49.27,9.84,90.7,331.04,93.49
Chiapas,2018,353600,5255000,67288,19.39,70.27,79.05,7.58,70.22,844.96,12.6
Chihuahua,2018,853323,3725000,229080,41.14,47.11,36.24,9.79,1241.94,995.33,79.95
Ciudad de México,2018,3694575,8693000,425006,8.92,85.31,49.02,11.34,5844.92,1466.62,16.9
Durango,2018,308981,1624000,190259,36.64,51.31,51.66,9.51,391.06,833.78,10.96
Guanajuato,2018,1120603,6182000,181269,39.31,51.48,53.67,8.78,2469.8,3108.65,56.89
Guerrero,2018,317845,3544000,89685,18.95,72.45,77.97,8.14,402.17,1669.35,66.79
Hidalgo,2018,418630,2854000,146682,37.05,55.63,74.5,9.11,186.48,932.48,11.91
Jalisco,2018,1754180,8756000,200340,28.67,59.41,49.74,9.64,1016.62,3348.12,33.44
México,2018,2243798,17476000,128393,29.32,63.5,57.88,9.86,2333.83,1967.91,18.14
Michoacán de Ocampo,2018,633757,4309000,147078,18.88,63.53,69.24,8.33,437.06,3503.31,48.18
Morelos,2018,273245,1897000,144041,29.49,61.66,67.36,9.62,251.87,695.9,43.38
Nayarit,2018,155758,1238000,125814,18.97,69.52,62.71,9.5,188.57,561.29,32.07
Nuevo León,2018,1909026,5921000,322416,39.91,53.34,36.58,10.55,3675.82,951.66,14.36
Oaxaca,2018,383160,3965000,96636,28.82,62.45,81.09,7.88,487.82,1789.95,28.45
Puebla,2018,849556,7136000,119052,35.56,55.52,72.72,8.89,643.93,1756.87,17.5
Querétaro,2018,611368,2324000,263067,42.59,49.26,43.45,10.11,1227.65,675.25,9.85
Quintana Roo,2018,377341,1989000,189714,10.66,81.42,46.28,9.99,591.48,171.17,42.28
San Luis Potosí,2018,557796,2923000,190830,46.57,44.34,54.93,9.29,1766.43,1273.46,19.26
Sinaloa,2018,527714,3051000,172964,19.8,65.41,49.84,9.96,414.96,829.45,39.79
Sonora,2018,782098,3048000,256594,44.54,44.02,43.22,10.24,155.1,545.48,30.71
Tabasco,2018,471565,2491000,189308,51.99,42.96,66.77,9.54,530.29,214.56,22.84
Tamaulipas,2018,732094,3790000,193165,40.68,51.5,44.26,9.86,1514.46,815.0,37.92
Tlaxcala,2018,147753,1323000,111680,34.91,56.0,72.06,9.61,143.06,263.69,11.49
Veracruz de Ignacio de la Llave,2018,1029905,7553000,136357,29.17,60.78,68.45,8.53,962.07,1425.5,20.07
Yucatán,2018,364798,2586000,141067,25.31,67.02,61.98,9.28,86.01,206.96,2.28
Zacatecas,2018,228388,1602000,142564,34.1,49.06,60.99,9.0,301.74,1129.05,48.25
Aguascalientes,2019,329358,1490000,221046,44.05,45.9,41.1,10.23,452.12,517.59,8.05
Baja California,2019,893946,3894000,229570,43.18,48.03,37.59,10.11,1183.73,936.0,72.5
Baja California Sur,2019,177861,843000,210986,20.47,70.9,37.72,10.25,464.97,88.78,12.34
Campeche,2019,541963,871000,622231,79.96,17.16,62.03,9.53,151.87,91.22,9.53
Coahuila de Zaragoza,2019,953384,3235000,294709,53.76,38.25,33.84,10.32,1492.11,657.47,9.46
Colima,2019,161110,815000,197681,30.29,62.64,51.06,9.95,41.37,311.94,101.84
Chiapas,2019,348914,5329000,65475,17.08,72.24,74.88,7.68,256.65,1034.75,11.62
Chihuahua,2019,866861,3755000,230855,41.98,46.67,36.38,9.89,1406.99,1147.36,78.19
Ciudad de México,2019,3679917,8691000,423417,8.77,85.45,49.42,11.41,8779.15,1761.61,14.97
Durango,2019,309426,1634000,189367,37.32,50.71,50.82,9.63,178.53,903.9,10.71
Guanajuato,2019,1099063,6286000,174843,37.99,52.74,53.75,8.91,796.04,3388.21,63.94
Guerrero,2019,317147,3570000,88837,18.44,72.97,78.89,8.26,275.54,1804.77,54.26
Hidalgo,2019,409266,2893000,141468,35.94,56.46,73.63,9.24,283.87,988.84,16.56
Jalisco,2019,1767123,8897000,198620,28.35,59.41,48.89,9.77,1571.69,3570.1,28.38
México,2019,2209647,17702000,124825,27.99,64.87,58.08,9.97,2933.08,2109.42,18.31
Michoacán de Ocampo,2019,635628,4322000,147068,18.68,63.74,69.05,8.47,298.01,3718.83,56.96
Morelos,2019,269686,1913000,140975,28.5,62.65,67.88,9.73,655.62,729.61,55.36
Nayarit,2019,157163,1258000,124931,18.69,69.01,62.9,9.62,170.4,599.4,17.33
Nuevo León,2019,1918825,6074000,315908,39.81,53.35,38.02,10.65,3274.64,975.3,16.25
Oaxaca,2019,367364,3988000,92117,25.61,65.22,81.4,8.0,56.62,1873.85,29.19
Puebla,2019,856911,7253000,118146,36.2,54.97,72.35,9.03,2043.99,1830.7,17.57
Querétaro,2019,609108,2392000,254644,42.45,49.38,40.85,10.29,1169.08,725.95,9.36
Quintana Roo,2019,376757,2065000,182449,11.27,81.06,46.12,10.12,664.14,191.79,36.32
San Luis Potosí,2019,534392,2961000,180477,44.71,46.19,55.4,9.45,853.83,1381.1,17.63
Sinaloa,2019,522342,3080000,169592,18.51,66.1,50.75,10.09,262.59,946.91,36.79
Sonora,2019,783103,3093000,253186,44.62,43.76,42.84,10.32,449.64,607.91,44.75
Tabasco,2019,445871,2533000,176025,49.18,45.63,65.33,9.61,490.59,258.52,27.28
Tamaulipas,2019,752814,3849000,195587,42.05,50.24,44.18,9.97,1630.12,894.37,22.94
Tlaxcala,2019,147877,1346000,109864,34.62,56.22,71.69,9.72,345.72,263.73,14.04
Veracruz de Ignacio de la Llave,2019,1053328,7573000,139090,29.85,60.16,68.27,8.64,1080.61,1553.1,19.71
Yucatán,2019,365826,2645000,138309,25.76,66.5,60.72,9.44,159.95,227.52,1.74
Zacatecas,2019,219747,1617000,135898,32.25,51.54,60.45,9.13,746.49,1159.93,42.24
Aguascalientes,2020,307126,1425000,215527,44.02,45.87,39.77,10.35,743.66,556.63,6.53
Baja California,2020,839693,3769000,222789,44.0,47.68,37.4,10.2,1195.39,1215.59,78.72
Baja California Sur,2020,151931,799000,190151,19.61,71.56,37.29,10.34,617.41,111.11,9.76
Campeche,2020,500515,820000,610384,80.31,17.38,59.95,9.63,199.06,119.09,9.27
Coahuila de Zaragoza,2020,843598,3073000,274519,52.08,39.64,35.56,10.43,852.11,734.53,7.88
Colima,2020,148143,771000,192144,28.79,63.48,50.36,10.05,92.07,359.39,90.01
Chiapas,2020,337240,5106000,66048,17.85,71.49,75.03,7.78,133.14,1181.09,10.5
Chihuahua,2020,808711,3556000,227422,41.79,46.8,35.7,10.0,641.06,1284.1,97.53
Ciudad de México,2020,3293855,8231000,400177,8.59,85.85,46.05,11.48,6997.35,2194.25,16.28
Durango,2020,286241,1550000,184672,36.9,50.72,50.93,9.75,496.54,987.22,10.84
Guanajuato,2020,1019446,5991000,170163,38.07,52.6,54.4,9.04,199.33,3552.55,89.63
Guerrero,2020,289968,3393000,85461,18.35,72.39,77.71,8.37,296.87,2006.71,44.41
Hidalgo,2020,364940,2752000,132609,34.07,57.96,72.94,9.37,278.72,1057.0,13.3
Jalisco,2020,1624209,8449000,192237,28.25,59.41,48.39,9.9,2133.99,4229.7,26.52
México,2020,2035392,16764000,121414,27.64,65.37,55.89,10.08,2385.28,2495.26,18.43
Michoacán de Ocampo,2020,601189,4112000,146204,19.24,62.69,65.9,8.6,272.8,4185.99,58.37
Morelos,2020,244989,1817000,134832,27.58,63.36,65.84,9.84,386.68,782.07,54.38
Nayarit,2020,142605,1187000,120139,17.7,69.49,56.73,9.73,782.99,694.29,15.59
Nuevo León,2020,1743166,5784000,301377,38.83,54.72,36.79,10.74,3104.23,1044.53,15.89
Oaxaca,2020,350911,3797000,92418,27.16,63.53,78.03,8.12,244.32,1961.1,23.04
Puebla,2020,767210,6904000,111125,34.08,56.88,71.46,9.16,583.04,1933.62,14.93
Querétaro,2020,553614,2273000,243561,40.78,50.95,41.83,10.48,880.31,824.4,9.99
Quintana Roo,2020,292733,1953000,149889,11.43,81.79,47.73,10.24,160.85,247.23,32.16
San Luis Potosí,2020,500251,2823000,177205,43.97,46.65,54.15,9.61,917.14,1470.9,28.44
Sinaloa,2020,484353,2934000,165083,18.62,66.01,46.95,10.22,743.91,1071.93,29.52
Sonora,2020,731238,2944000,248382,44.67,43.66,43.37,10.4,587.56,728.62,53.74
Tabasco,2020,464761,2402000,193489,54.15,41.25,63.7,9.69,464.95,288.76,24.35
Tamaulipas,2020,691400,3643000,189789,40.89,51.41,43.41,10.09,707.7,972.56,21.96
Tlaxcala,2020,135083,1272000,106197,33.34,57.63,71.02,9.83,367.52,252.4,12.11
Veracruz de Ignacio de la Llave,2020,971252,7230000,134336,28.69,60.75,67.57,8.75,1000.7,1667.44,16.31
Yucatán,2020,333528,2496000,133625,25.11,67.07,57.58,9.59,154.13,251.74,2.88
Zacatecas,2020,210643,1546000,136250,31.92,50.72,61.12,9.25,-405.53,1242.13,80.47
Aguascalientes,2021,315233,1475000,213717,43.02,46.71,39.95,10.35,67.18,710.99,6.98
Baja California,2021,896314,3912000,229119,43.65,47.85,38.22,10.2,2222.16,1375.94,83.03
Baja California Sur,2021,171065,833000,205360,16.48,73.78,37.22,10.34,1089.5,127.97,9.24
Campeche,2021,489604,844000,580100,78.05,18.71,62.82,9.63,218.42,150.91,12.68
Coahuila de Zaragoza,2021,921587,3181000,289716,54.44,37.29,35.99,10.43,1039.08,924.6,5.38
Colima,2021,147667,800000,184584,23.42,68.12,48.64,10.05,91.36,444.47,75.88
Chiapas,2021,353639,5264000,67181,18.11,71.24,75.56,7.78,157.04,1935.53,10.79
Chihuahua,2021,846064,3691000,229224,42.08,46.55,36.2,10.0,1920.13,1597.45,74.21
Ciudad de México,2021,3496056,8520000,410335,8.95,85.34,47.71,11.48,7177.79,3000.28,12.63
Durango,2021,303251,1600000,189532,36.58,50.42,52.05,9.75,461.84,1272.64,8.94
Guanajuato,2021,1084518,6189000,175233,38.4,51.92,55.56,9.04,1798.08,4380.32,70.01
Guerrero,2021,303633,3503000,86678,16.87,73.74,77.16,8.37,669.33,2682.05,41.91
Hidalgo,2021,391962,2836000,138209,34.99,57.04,72.41,9.37,176.27,1325.4,10.12
Jalisco,2021,1712483,8738000,195981,28.08,59.65,47.6,9.9,2143.48,5285.62,26.02
México,2021,2163538,17384000,124456,27.76,65.14,56.67,10.08,1535.54,3216.04,17.94
Michoacán de Ocampo,2021,629066,4247000,148120,17.26,64.23,65.7,8.6,1033.73,5094.21,63.48
Morelos,2021,259939,1881000,138192,28.54,62.4,66.8,9.84,94.77,1029.71,63.74
Nayarit,2021,155969,1233000,126496,19.95,67.84,57.9,9.73,302.87,870.45,18.0
Nuevo León,2021,1865875,5978000,312124,39.72,53.64,36.62,10.74,3416.87,1330.26,17.9
Oaxaca,2021,385418,3929000,98096,29.85,61.18,80.73,8.12,-93.91,2460.86,20.01
Puebla,2021,794876,7125000,111562,33.81,57.02,71.8,9.16,627.8,2184.61,11.89
Querétaro,2021,578175,2349000,246137,41.16,50.36,43.04,10.48,944.22,1028.7,9.83
Quintana Roo,2021,332542,2045000,162612,8.62,83.53,48.1,10.24,471.43,315.99,33.11
San Luis Potosí,2021,516191,2917000,176960,42.98,47.19,55.66,9.61,717.33,1758.3,27.32
Sinaloa,2021,507429,3042000,166808,18.04,67.0,47.95,10.22,543.72,1186.79,20.87
Sonora,2021,760930,3056000,248995,44.38,43.82,41.47,10.4,985.21,883.05,68.36
Tabasco,2021,545416,2474000,220459,58.26,37.17,64.89,9.69,300.41,440.05,18.31
Tamaulipas,2021,725030,3776000,192010,40.94,51.47,45.05,10.09,1273.7,1151.76,19.57
Tlaxcala,2021,143213,1318000,108659,33.98,56.86,71.56,9.83,60.46,324.34,12.14
Veracruz de Ignacio de la Llave,2021,1027896,7481000,137401,28.86,60.52,70.67,8.75,935.35,2079.43,12.67
Yucatán,2021,358660,2582000,138908,24.89,67.04,60.79,9.59,145.68,341.89,2.13
Zacatecas,2021,221592,1590000,139366,32.88,49.99,61.3,9.25,1320.21,1611.97,111.7
Aguascalientes,2022,314602,1524000,206432,41.73,48.04,40.47,10.35,598.32,860.16,5.77
Baja California,2022,919300,4053000,226820,42.91,48.14,37.74,10.2,1877.02,1390.79,72.17
Baja California Sur,2022,178130,868000,205219,16.08,74.2,38.31,10.34,834.29,204.18,10.37
Campeche,2022,472680,868000,544562,77.49,19.39,61.81,9.63,40.24,160.52,12.67
Coahuila de Zaragoza,2022,935841,3289000,284537,54.79,36.87,34.57,10.43,879.94,1061.19,5.17
Colima,2022,148438,828000,179273,20.55,70.1,48.37,10.05,95.07,467.83,107.13
Chiapas,2022,374518,5423000,69061,20.05,69.68,75.72,7.78,186.74,3190.71,9.28
Chihuahua,2022,911271,3826000,238179,43.01,45.33,36.31,10.0,1868.61,1625.93,56.38
Ciudad de México,2022,3650378,8810000,414345,9.67,84.37,46.93,11.48,11066.53,3184.2,8.48
Durango,2022,300478,1650000,182108,35.76,51.12,51.06,9.75,565.55,1361.77,7.7
Guanajuato,2022,1110919,6388000,173907,38.64,51.71,55.49,9.04,1559.02,5053.89,67.77
Guerrero,2022,310106,3613000,85831,16.11,74.65,79.02,8.37,246.17,2990.07,38.86
Hidalgo,2022,431252,2921000,147638,37.98,54.25,72.55,9.37,412.74,1692.52,13.35
Jalisco,2022,1797547,9027000,199130,28.76,58.86,46.75,9.9,2982.56,5389.01,20.64
México,2022,2218453,18005000,123213,27.18,65.79,56.48,10.08,2294.64,3554.6,18.09
Michoacán de Ocampo,2022,652067,4383000,148772,17.19,64.6,66.92,8.6,166.86,5340.89,53.14
Morelos,2022,260119,1946000,133669,28.38,62.82,64.88,9.84,81.13,1111.14,60.38
Nayarit,2022,162601,1280000,127032,18.75,68.8,59.52,9.73,474.95,868.45,15.31
Nuevo León,2022,1928658,6173000,312434,39.84,53.36,36.63,10.74,4415.44,1454.55,22.84
Oaxaca,2022,415503,4062000,102290,31.8,59.54,81.2,8.12,158.15,2937.94,19.82
Puebla,2022,825803,7347000,112400,34.34,56.68,71.16,9.16,798.5,2773.77,14.82
Querétaro,2022,589221,2426000,242878,41.39,50.08,42.77,10.48,719.43,1203.48,7.91
Quintana Roo,2022,356728,2137000,166929,8.86,82.85,46.58,10.24,459.92,391.79,30.28
San Luis Potosí,2022,532793,3011000,176949,44.32,46.04,54.48,9.61,324.2,2002.2,25.21
Sinaloa,2022,516319,3154000,163703,18.32,66.64,47.95,10.22,871.84,1216.99,18.61
Sonora,2022,790044,3169000,249304,45.15,42.56,41.37,10.4,605.9,910.54,55.51
Tabasco,2022,637775,2546000,250501,63.25,32.66,63.7,9.69,27.26,432.0,13.9
Tamaulipas,2022,748873,3909000,191577,40.61,51.49,44.84,10.09,976.95,1140.62,12.33
Tlaxcala,2022,146642,1365000,107430,34.4,56.46,71.57,9.83,275.03,387.86,11.36
Veracruz de Ignacio de la Llave,2022,1041978,7732000,134762,27.88,61.51,67.65,8.75,0.01,2367.44,10.18
Yucatán,2022,369043,2668000,138322,24.38,67.46,60.79,9.59,547.75,396.64,2.06
Zacatecas,2022,225013,1634000,137707,34.16,49.39,61.52,9.25,8.7,1744.12,89.29
Aguascalientes,2023,334315,1573000,212533,42.96,46.66,40.61,10.35,1080.26,938.87,7.25
Baja California,2023,947958,4195000,225973,43.41,47.47,37.59,10.2,1412.21,1447.33,63.24
Baja California Sur,2023,180788,904000,199987,15.78,74.54,37.69,10.34,1162.09,178.27,5.53
Campeche,2023,508515,892000,570084,78.23,18.58,60.64,9.63,98.61,173.7,12.89
Coahuila de Zaragoza,2023,927968,3397000,273173,52.67,38.58,34.74,10.43,924.44,1051.84,3.86
Colima,2023,153355,857000,178944,21.71,69.56,48.81,10.05,57.17,479.48,104.43
Chiapas,2023,379626,5582000,68009,18.95,70.65,74.61,7.78,31.98,4367.29,11.32
Chihuahua,2023,940101,3962000,237279,43.31,45.07,34.92,10.0,1963.12,1591.88,63.53
Ciudad de México,2023,3805614,9099000,418245,9.19,84.87,46.19,11.48,11385.43,3867.94,8.24
Durango,2023,309199,1700000,181882,36.3,51.12,51.07,9.75,396.17,1391.04,5.41
Guanajuato,2023,1125731,6587000,170902,37.95,52.38,53.93,9.04,677.58,5414.47,58.63
Guerrero,2023,310655,3723000,83442,15.84,75.04,78.24,8.37,-195.94,3181.97,46.82
Hidalgo,2023,441544,3006000,146888,37.55,54.79,71.91,9.37,346.43,1754.78,13.21
Jalisco,2023,1849621,9317000,198521,28.77,59.04,47.12,9.9,1911.2,5355.89,19.04
México,2023,2266285,18625000,121680,26.16,66.89,56.05,10.08,1929.13,4353.76,15.8
Michoacán de Ocampo,2023,676493,4518000,149733,17.2,63.72,67.07,8.6,161.95,5409.58,41.74
Morelos,2023,267785,2011000,133160,27.73,63.6,65.38,9.84,195.25,1149.07,77.42
Nayarit,2023,162090,1327000,122148,18.39,69.38,59.11,9.73,345.89,874.83,11.3
Nuevo León,2023,1991520,6368000,312739,39.69,53.52,36.69,10.74,3870.08,1471.71,22.06
Oaxaca,2023,443373,4194000,105716,33.86,58.03,80.72,8.12,34.75,3214.05,20.24
Puebla,2023,852716,7569000,112659,33.9,56.92,69.94,9.16,231.37,3144.92,13.5
