año,estado,remesas_mdd
2009,Guanajuato,2019.55
2010,Guanajuato,2045.24
2011,Guanajuato,2226.19
2012,Guanajuato,2219.07
2013,Guanajuato,2080.27
2014,Guanajuato,2162.0
2015,Guanajuato,2257.76
2016,Guanajuato,2459.62
2017,Guanajuato,2806.23
2018,Guanajuato,3108.65
2019,Guanajuato,3388.21
2020,Guanajuato,3552.55
2021,Guanajuato,4380.32
2022,Guanajuato,5053.89
2023,Guanajuato,5414.47
2003,Guerrero,877.45
2004,Guerrero,1018.35
2005,Guerrero,1174.61
2006,Guerrero,1455.72
2007,Guerrero,1525.81
2008,Guerrero,1494.66
2009,Guerrero,1246.35
2010,Guerrero,1240.3
2011,Guerrero,1303.5
2012,Guerrero,1277.58
2013,Guerrero,1250.03
2014,Guerrero,1245.18
2015,Guerrero,1313.13
2016,Guerrero,1406.41
2017,Guerrero,1535.04
2018,Guerrero,1669.35
2019,Guerrero,1804.77
2020,Guerrero,2006.71
2021,Guerrero,2682.05
2022,Guerrero,2990.07
2023,Guerrero,3181.97
2003,Hidalgo,608.45
2004,Hidalgo,725.58
2005,Hidalgo,814.98
2006,Hidalgo,982.85
2007,Hidalgo,1118.92
2008,Hidalgo,1000.8
2009,Hidalgo,780.93
2010,Hidalgo,738.6
2011,Hidalgo,787.59
2012,Hidalgo,748.72
2013,Hidalgo,653.47
2014,Hidalgo,744.62
2015,Hidalgo,748.3
2016,Hidalgo,785.21
2017,Hidalgo,858.92
2018,Hidalgo,932.48
2019,Hidalgo,988.84
2020,Hidalgo,1057.0
2021,Hidalgo,1325.4
2022,Hidalgo,1692.52
2023,Hidalgo,1754.78
2003,Jalisco,1335.07
2004,Jalisco,1462.23
2005,Jalisco,1695.74
2006,Jalisco,1975.48
2007,Jalisco,2044.46
2008,Jalisco,1993.57
2009,Jalisco,1760.2
2010,Jalisco,1812.19
2011,Jalisco,1957.65
2012,Jalisco,1954.62
2013,Jalisco,1818.2
2014,Jalisco,2020.28
2015,Jalisco,2226.07
2016,Jalisco,2581.18
2017,Jalisco,2917.94
2018,Jalisco,3348.12
2019,Jalisco,3570.1
2020,Jalisco,4229.7
2021,Jalisco,5285.62
2022,Jalisco,5389.01
2023,Jalisco,5355.89
2003,Michoacán,1787.47
2004,Michoacán,2281.4
2005,Michoacán,2442.4
2006,Michoacán,2503.69
2007,Michoacán,2494.18
2008,Michoacán,2549.94
2009,Michoacán,2214.13
2010,Michoacán,2213.74
2011,Michoacán,2318.3
2012,Michoacán,2292.8
2013,Michoacán,2124.3
2014,Michoacán,2320.11
2015,Michoacán,2550.93
2016,Michoacán,2821.46
2017,Michoacán,3123.36
2018,Michoacán,3503.31
2019,Michoacán,3718.83
2020,Michoacán,4185.99
2021,Michoacán,5094.21
2022,Michoacán,5340.89
2023,Michoacán,5409.58
2003,Morelos,373.16
2004,Morelos,433.18
2005,Morelos,505.15
2006,Morelos,588.0
2007,Morelos,651.01
2008,Morelos,648.29
2009,Morelos,569.14
2010,Morelos,572.77
2011,Morelos,605.96
2012,Morelos,582.48
2013,Morelos,533.45
2014,Morelos,545.38
2015,Morelos,589.68
2016,Morelos,597.77
2017,Morelos,661.63
2018,Morelos,695.9
2019,Morelos,729.61
2020,Morelos,782.07
2021,Morelos,1029.71
2022,Morelos,1111.14
2023,Morelos,1149.07
2003,Nayarit,227.53
2004,Nayarit,262.4
2005,Nayarit,302.69
2006,Nayarit,348.24
